"loan_outcome","homeownership","annual_income","debt_to_income","credit_util","grade","interest_rate"
"Default","RENT",70000,3.82,0.281162790697674,"D",17.09
"Default","RENT",36000,4.87,0.25056,"D",20
"Default","MORTGAGE",41000,41.51,0.786465568565191,"D",21.45
"Default","RENT",24000,4.4,0.690388059701493,"B",10.9
"Default","MORTGAGE",169880,20.61,0.122381201697286,"C",16.02
"Default","OWN",64000,31.58,0.740032181101925,"D",17.09
"Default","RENT",58000,25.32,0.421204553562741,"C",15.05
"Default","OWN",50000,29.67,0.186837660862609,"B",11.98
"Default","RENT",80000,0.38,0.000808383233532934,"C",16.02
"Default","MORTGAGE",62000,9.16,0.640483807241814,"A",7.96
"Default","RENT",1e+05,25.65,0.72686686287225,"C",16.02
"Default","MORTGAGE",84676,26.31,0.468637435291827,"E",26.77
"Default","RENT",1e+05,17.1,0.765773666393203,"D",21.85
"Default","MORTGAGE",20000,11.28,0.210878552971576,"B",11.99
"Default","RENT",25000,8.68,0.319450980392157,"B",11.98
"Default","RENT",172000,4.35,0.474194623222209,"D",20
"Default","RENT",36000,26.73,0.395005331873073,"E",26.77
"Default","MORTGAGE",180000,12.03,0.226347261898998,"D",19.03
"Default","MORTGAGE",70200,22.77,0.239987111902695,"D",18.45
"Default","OWN",60000,1.2,0.201055555555556,"B",11.99
"Default","RENT",48000,26.11,0.547241482267857,"B",10.42
"Default","MORTGAGE",90000,20.59,0.553509941992121,"C",16.01
"Default","RENT",61582,28.97,0.668373856792327,"D",19.03
"Default","OWN",21600,34.28,0.439268056475865,"E",25.82
"Default","RENT",80000,1.86,0.0333864541832669,"C",12.62
"Default","RENT",1e+05,11.44,0.579144773230089,"C",16.02
"Default","RENT",70000,24.64,0.489138966080482,"C",13.58
"Default","OWN",75000,10.61,0.98022808426895,"D",17.09
"Default","RENT",90000,18.87,0.147384542884072,"C",12.61
"Default","MORTGAGE",83000,16.98,0.155275288092189,"G",30.94
"Default","MORTGAGE",51000,20.66,0.139087485058301,"A",6.72
"Default","MORTGAGE",150000,13.89,0.852334716869256,"C",12.62
"Default","OWN",63000,30,0.313735034821977,"D",21.85
"Default","OWN",72000,27.07,0.87773039017924,"D",17.47
"Default","RENT",33000,15.67,0.586157205240175,"E",26.3
"Default","RENT",40000,24.66,0.685028328611898,"B",9.93
"Default","RENT",70000,7.01,0.453718936704477,"C",13.59
"Default","RENT",120000,8.74,0.317872968980798,"B",11.99
"Default","RENT",26000,1.15,0.118235294117647,"B",9.93
"Default","OWN",40000,14.34,0.0978666128272428,"B",11.99
"Default","RENT",21000,8.11,0.1116,"C",16.01
"Default","MORTGAGE",52680,23.51,0.147805452592926,"F",30.17
"Default","MORTGAGE",65000,27.68,0.244677418742622,"E",24.85
"Default","RENT",60000,5.39,0.445642023346303,"C",16.02
"Default","OWN",26895,2.98,0.00376276512175962,"C",15.05
"Default","MORTGAGE",2e+05,4.66,0.0167569031733799,"A",5.31
"Default","MORTGAGE",230000,14.59,0.204543934453641,"C",13.59
"Default","MORTGAGE",49000,21.48,0.0390857404655928,"D",17.09
"Default","RENT",45000,6.71,0.83258064516129,"D",19.03
"Default","RENT",36000,5.07,0.330592592592593,"D",19.03
"Default","RENT",30000,34.72,0.738187226787107,"D",19.03
"Default","RENT",110000,18.69,0.303908502379048,"C",15.04
"Default","MORTGAGE",126049,18.11,0.38135739550383,"C",14.08
"Default","MORTGAGE",258000,10.8,0.629881651160277,"D",17.09
"Default","RENT",35200,1.93,0.113137254901961,"C",14.08
"Default","OWN",74620,0.45,0.0136515513126492,"B",9.92
"Default","OWN",25000,8.35,0.129190751445087,"A",7.96
"Default","MORTGAGE",1e+05,13.56,0.453438703018706,"D",17.09
"Default","RENT",22560,7.93,0.462032520325203,"D",21.45
"Default","MORTGAGE",65000,8.07,0.202817345124778,"C",14.08
"Default","RENT",65000,25.76,0.627173091458806,"E",24.85
"Default","RENT",45000,37.31,0.89939094954999,"E",23.88
"Default","RENT",70000,7.25,0.094367816091954,"D",18.06
"Default","MORTGAGE",125000,23.98,0.35803487981589,"A",7.97
"Default","RENT",113500,31.08,0.590234258158181,"C",13.58
"Default","MORTGAGE",89000,8.87,0.087970532746384,"C",16.01
"Default","MORTGAGE",50000,36.24,0.111276246467261,"C",16.01
"Default","RENT",132300,3.54,0.123068931249435,"B",11.99
"Default","OWN",39000,7.24,0.615322580645161,"D",21.45
"Default","MORTGAGE",36000,31.5,0.0798483934969628,"F",30.75
"Default","MORTGAGE",120000,16.36,0.153889547286087,"B",11.99
"Default","MORTGAGE",30000,24.04,0.448114942528736,"C",13.59
"Default","RENT",85000,22.88,0.469387962896969,"C",14.08
"Default","MORTGAGE",59000,10.92,0.139060248974918,"B",9.44
"Default","MORTGAGE",68353,16.06,0.125003458331258,"E",25.82
"Default","OWN",85000,30.61,0.631236616702355,"D",21.45
"Default","RENT",78000,14.38,0.804320931085044,"D",18.06
"Fully Paid","MORTGAGE",140000,13.82,0.110330482940414,"B",9.93
"Fully Paid","OWN",70000,0,0.00302631578947368,"A",6.08
"Fully Paid","MORTGAGE",44000,24.77,0.720766343225441,"C",14.08
"Fully Paid","RENT",51000,17.25,0.736217844816079,"C",15.05
"Fully Paid","OWN",85000,26.49,0.455089666951324,"A",6.72
"Fully Paid","RENT",88000,13.04,0.610398190735141,"A",7.97
"Fully Paid","RENT",69000,27.74,0.50783607413208,"D",19.42
"Fully Paid","MORTGAGE",130000,9.53,0.0647240551889622,"A",6.08
"Fully Paid","MORTGAGE",85000,26.03,0.294789417771838,"A",7.97
"Fully Paid","RENT",60000,16.34,0.622814152094347,"C",14.08
"Fully Paid","RENT",170000,12.47,0.760772727272727,"C",15.05
"Fully Paid","RENT",86000,14.26,0.652697201518221,"C",15.05
"Fully Paid","MORTGAGE",65000,21.62,0.284490540670316,"B",10.42
"Fully Paid","MORTGAGE",2e+05,16.96,0.508768413040959,"D",19.03
"Fully Paid","MORTGAGE",72000,23.47,0.166197627034694,"C",15.05
"Fully Paid","RENT",64000,1.03,0.101555555555556,"A",6.72
"Fully Paid","MORTGAGE",130000,7.91,0.0441443501065571,"B",9.92
"Fully Paid","OWN",150000,9.16,0.115800113639762,"B",9.44
"Fully Paid","RENT",90000,11.57,0.557141748778028,"C",16.02
"Fully Paid","MORTGAGE",70000,10.97,0.0613571414564054,"C",13.59
"Fully Paid","OWN",71000,19.74,0.120862073983527,"A",5.32
"Fully Paid","MORTGAGE",62000,14.52,0.480547068932595,"C",13.59
"Fully Paid","RENT",32800,29.09,0.426863834405015,"A",7.35
"Fully Paid","RENT",51000,22.66,1.04474095075718,"D",17.47
"Fully Paid","MORTGAGE",70000,39.43,0.264850825785828,"D",17.09
"Fully Paid","MORTGAGE",122000,24.59,0.266137140000555,"C",15.04
"Fully Paid","MORTGAGE",40000,26.19,0.877543157421578,"B",11.98
"Fully Paid","MORTGAGE",104000,13.39,0.142726784015879,"D",19.03
"Fully Paid","RENT",2e+05,8.41,0.75221764398942,"E",23.88
"Fully Paid","OWN",38000,0.79,0.0197537101357752,"C",14.08
"Fully Paid","RENT",31000,29.89,0.408252049274168,"E",24.85
"Fully Paid","MORTGAGE",62400,12.76,0.0410389440050133,"B",11.98
"Fully Paid","MORTGAGE",70000,33.55,0.159163426556404,"B",11.98
"Fully Paid","RENT",45000,23.97,0.56892935311284,"C",15.05
"Fully Paid","RENT",45000,22.19,0.267407799816145,"C",15.05
"Fully Paid","MORTGAGE",180000,0.17,0.000875158161113454,"A",7.35
"Fully Paid","OWN",25000,6.72,0.0279373711679312,"B",10.9
"Fully Paid","RENT",23500,20.4,0.471439808538769,"A",7.34
"Fully Paid","MORTGAGE",54902,22.47,0.678620171966699,"C",13.58
"Fully Paid","OWN",29000,1.16,0.0676551724137931,"B",10.91
"Fully Paid","MORTGAGE",44000,13.75,0.261101702584257,"C",12.61
"Fully Paid","RENT",92000,24.99,0.675396012515258,"A",7.97
"Fully Paid","RENT",120000,16.9,0.715460103786672,"D",17.09
"Fully Paid","MORTGAGE",85000,18.92,0.0704731460483426,"B",10.42
"Fully Paid","RENT",60000,24.66,0.298539342239675,"A",7.34
"Fully Paid","RENT",90500,25.13,0.955801511369599,"A",7.35
"Fully Paid","MORTGAGE",133000,20.86,0.278867981774149,"C",15.05
"Fully Paid","RENT",36433,26.93,0.478388200085507,"A",7.35
"Fully Paid","MORTGAGE",108000,28.65,0.299319231112518,"B",10.91
"Fully Paid","RENT",58000,21.19,0.854357314997388,"E",26.3
"Fully Paid","MORTGAGE",280000,7.35,0.0402149866798613,"A",5.31
"Fully Paid","OWN",74000,12.84,0.260227690323161,"E",26.77
"Fully Paid","RENT",63500,1.08,0.726617647058823,"B",11.98
"Fully Paid","MORTGAGE",105000,32.69,0.230643336390854,"G",30.79
"Fully Paid","MORTGAGE",40000,29.67,0.130730801732102,"C",15.05
"Fully Paid","OWN",281125,7.15,0.0604248337900778,"A",6.72
"Fully Paid","RENT",80000,27.86,0.880072513175098,"E",23.88
"Fully Paid","MORTGAGE",87120,17.48,0.537632541133455,"C",15.05
"Fully Paid","MORTGAGE",37020,10.24,0.242242744063325,"B",10.91
"Fully Paid","RENT",50000,18.07,0.499121200575214,"B",9.44
"Fully Paid","MORTGAGE",50000,59.68,0.26152860284024,"C",13.59
"Fully Paid","MORTGAGE",56000,25.7,0.157539531894727,"B",9.44
"Fully Paid","MORTGAGE",135000,20.24,0.526523764378226,"C",14.08
"Fully Paid","RENT",52000,9.55,0.416953097512788,"D",21.45
"Fully Paid","MORTGAGE",46000,18.18,0.325619469026549,"C",12.61
"Fully Paid","RENT",82000,6.2,0.763753713758836,"D",20
"Fully Paid","MORTGAGE",50000,13.79,0.0790141125745032,"B",10.91
"Fully Paid","RENT",68000,16.11,0.791151566910026,"B",11.98
"Fully Paid","MORTGAGE",50000,59.29,0.233974051959939,"D",20
"Fully Paid","RENT",45000,14.37,0.693803187738023,"C",16.01
"Fully Paid","MORTGAGE",40825,6.7,0.0288023385779383,"D",20
"Fully Paid","MORTGAGE",60000,26,0.607147764605949,"D",21.45
"Fully Paid","MORTGAGE",39000,1.29,0.0159654139433551,"C",16.01
"Fully Paid","OWN",48000,26.4,0.700925817414743,"C",12.62
"Fully Paid","MORTGAGE",125000,22.6,0.215894364137452,"C",16.02
"Fully Paid","MORTGAGE",14928,11.58,0.00614796986186689,"D",19.42
"Fully Paid","OWN",93844,24.54,0.6296346713942,"D",19.42
"Fully Paid","RENT",60000,19.56,0.863330696202532,"D",21.85
"Fully Paid","MORTGAGE",75000,18.42,0.352273906277019,"B",9.93
"Fully Paid","RENT",80000,6.41,0.998539150759642,"B",10.91
"Fully Paid","RENT",103000,18.93,0.819949374924007,"C",16.01
"Fully Paid","OWN",50000,1.97,0.287692307692308,"D",21.45
"Fully Paid","OWN",45000,16.51,0.290310836026032,"C",13.59
"Fully Paid","RENT",94000,26.72,0.642445231536141,"C",12.62
"Fully Paid","MORTGAGE",103500,31.29,0.233954857285342,"D",18.45
"Fully Paid","MORTGAGE",52000,21.83,0.127776711234417,"A",7.35
"Fully Paid","MORTGAGE",115000,23.28,0.874416885808701,"A",6.07
"Fully Paid","MORTGAGE",120000,4.32,0.06912653603454,"C",15.04
"Fully Paid","RENT",47500,32.88,0.617111995451961,"B",9.44
"Fully Paid","OWN",1e+05,18.79,0.129776978692475,"B",11.98
"Fully Paid","MORTGAGE",118000,9.34,0.0735568289138232,"B",10.91
"Fully Paid","MORTGAGE",62400,16.92,0.159129420709118,"D",18.45
"Fully Paid","MORTGAGE",1e+05,18.7,0.304070094400776,"C",14.07
"Fully Paid","RENT",50000,8.55,0.22584381587787,"B",10.91
"Fully Paid","MORTGAGE",66500,24.11,0.343113775411949,"E",26.3
"Fully Paid","RENT",37000,22.61,0.910522937138907,"D",18.06
"Fully Paid","MORTGAGE",150000,14.07,0.819766136050984,"C",14.07
"Fully Paid","RENT",75000,13.78,0.932593982584495,"C",13.59
"Fully Paid","OWN",101000,10.69,0.122396864107049,"A",5.31
"Fully Paid","MORTGAGE",60000,19.42,0.653136158458533,"A",7.35
"Fully Paid","RENT",130800,14.47,0.617916284754048,"B",11.99
"Fully Paid","MORTGAGE",48589,21.19,0.114353953964463,"E",24.85
"Fully Paid","MORTGAGE",75000,22.26,0.229198431714223,"D",19.03
"Fully Paid","MORTGAGE",47000,12.67,0.0197860729573998,"C",13.59
"Fully Paid","MORTGAGE",45000,28.45,0.283866423884289,"B",11.98
"Fully Paid","MORTGAGE",98000,31.73,0.339526397977162,"E",24.85
"Fully Paid","MORTGAGE",45000,30.93,0.556017395064991,"E",26.77
"Fully Paid","RENT",35000,3.98,0.12105,"C",14.08
"Fully Paid","OWN",125000,16.2,0.670943082852458,"E",26.3
"Fully Paid","RENT",35000,14.61,0.408258706467662,"A",6.08
"Fully Paid","RENT",40000,16.53,1.04657742773467,"B",11.99
"Fully Paid","MORTGAGE",140000,17.35,0.129326885679467,"C",12.62
"Fully Paid","RENT",50000,7.24,0.331223353345515,"A",7.97
"Fully Paid","MORTGAGE",28000,6.73,0.191919504643963,"C",16.01
"Fully Paid","RENT",58000,15.09,0.545775251721012,"C",16.02
"Fully Paid","RENT",41600,16.44,0.7056405328208,"D",19.03
"Fully Paid","MORTGAGE",59142,8.79,0.0497922252376714,"A",7.35
"Fully Paid","RENT",50000,9.7,0.0398105020104303,"B",10.42
"Fully Paid","MORTGAGE",60000,11.52,0.149768374514553,"C",15.04
"Fully Paid","OWN",95000,23.02,0.180414899713467,"C",14.08
"Fully Paid","MORTGAGE",40000,3.27,0.457857663347097,"D",21.85
"Fully Paid","RENT",43492.8,6.18,0.219376026272578,"A",7.34
"Fully Paid","RENT",29300,54.81,0.544980093170965,"C",13.59
"Fully Paid","RENT",65918,16.54,0.686459915683831,"C",15.04
"Fully Paid","RENT",60000,26.32,0.651130478716686,"C",16.02
"Fully Paid","OWN",38000,15.13,0.853568302967619,"C",15.05
"Fully Paid","MORTGAGE",77000,19.95,0.184051697860148,"A",7.35
"Fully Paid","MORTGAGE",1e+05,19.34,0.515683196764925,"C",13.59
"Fully Paid","OWN",56000,17.55,0.826995887755657,"C",14.08
"Fully Paid","RENT",75000,10.19,0.701304347826087,"A",6.71
"Fully Paid","MORTGAGE",55000,8.79,0.0435645144739992,"A",7.34
"Fully Paid","RENT",150000,3.08,0.103234938246239,"A",5.32
"Fully Paid","RENT",110000,19.26,0.925952576754386,"B",9.92
"Fully Paid","RENT",57000,15.54,1.13782907924629,"C",14.08
"Fully Paid","RENT",65000,29.51,0.850096172608926,"C",14.07
"Fully Paid","MORTGAGE",185220,12.83,0.0984314471860979,"A",5.31
"Fully Paid","OWN",110000,18.87,0.772794736810221,"D",17.09
"Fully Paid","RENT",30000,31.76,0.576125,"C",15.05
"Fully Paid","MORTGAGE",75000,9.55,0.80304347826087,"B",9.92
"Fully Paid","MORTGAGE",95000,6.7,0.215946553082242,"B",9.43
"Fully Paid","MORTGAGE",80000,13.34,0.149442349151533,"D",18.45
"Fully Paid","RENT",50000,12.43,0.675151209677419,"D",18.06
"Fully Paid","MORTGAGE",65000,15.77,0.0878631164772293,"A",6.72
"Fully Paid","MORTGAGE",210000,13.67,0.202841350902633,"D",17.47
"Fully Paid","RENT",108000,16.31,0.888010815541463,"C",12.61
"Fully Paid","MORTGAGE",87400,13.64,0.210016994811159,"B",10.91
"Fully Paid","MORTGAGE",56000,24.67,0.140393634347835,"C",14.08
"Fully Paid","RENT",42000,20.89,0.376610878661088,"B",10.91
"Fully Paid","RENT",61000,27.98,0.802039000365585,"C",13.59
"Fully Paid","RENT",70000,0,0,"C",12.61
"Fully Paid","MORTGAGE",36000,12.23,0.474099526066351,"C",14.07
"Fully Paid","MORTGAGE",216000,4.27,0.0642638719977579,"B",9.93
"Fully Paid","RENT",40000,21.42,0.802936359382312,"D",17.09
"Fully Paid","MORTGAGE",166000,14.6,0.182865701970309,"C",15.05
"Fully Paid","MORTGAGE",32000,37.21,0.184563273383561,"B",9.93
"Fully Paid","RENT",56000,12.99,0.600576843840132,"C",16.02
"Fully Paid","MORTGAGE",80000,6.39,0.0171093746372673,"E",24.85
"Fully Paid","RENT",73000,18.01,0.296890756302521,"A",7.35
"Fully Paid","RENT",92000,13.71,0.475022375443365,"A",7.97
"Fully Paid","RENT",62000,28.44,0.668708415431623,"E",26.3
"Fully Paid","MORTGAGE",80000,15.5,0.110988401912609,"C",12.62
"Fully Paid","MORTGAGE",88116,16.82,0.150368127914969,"B",11.99
"Fully Paid","MORTGAGE",50000,17.38,0.517242770950623,"C",12.62
"Fully Paid","RENT",122000,2.2,0.358690476190476,"D",17.09
"Fully Paid","OWN",1e+05,4.94,0.234754481577624,"A",7.34
"Fully Paid","MORTGAGE",65000,35.73,0.31733198585144,"B",9.43
"Fully Paid","RENT",23000,23.38,0.533406593406593,"E",25.82
"Fully Paid","MORTGAGE",29000,16.89,0.0697957354165333,"D",17.09
"Fully Paid","OWN",56000,6.73,0.0315704003413016,"E",24.85
"Fully Paid","MORTGAGE",83000,22.66,0.454517540079297,"C",14.08
"Fully Paid","MORTGAGE",45000,64.51,0.833307480456689,"C",13.59
"Fully Paid","MORTGAGE",84000,0.43,0.00175111128215983,"B",9.44
"Fully Paid","MORTGAGE",72000,25.38,0.628294684751286,"D",19.03
"Fully Paid","RENT",54000,14.51,0.545483209837616,"C",15.05
"Fully Paid","RENT",64000,6.58,0.281080437113491,"B",9.43
"Fully Paid","RENT",50000,8.45,0.551610169491525,"C",14.08
"Fully Paid","MORTGAGE",148650,0.53,0.00516594882189004,"A",7.35
"Fully Paid","RENT",130000,8.45,0.435064695009242,"D",20
"Fully Paid","MORTGAGE",45000,8.83,0.0733271604938272,"C",15.05
"Fully Paid","OWN",120000,17.23,0.241199815413013,"A",5.32
"Fully Paid","MORTGAGE",60000,30.6,0.171283161250695,"C",16.02
"Fully Paid","RENT",75000,5.04,0.0637068062827225,"A",5.31
"Fully Paid","MORTGAGE",280000,0.06,4.10119218502055e-05,"B",10.91
"Fully Paid","MORTGAGE",32000,10.92,0.0575397908140064,"B",11.99
"Fully Paid","MORTGAGE",1e+05,31.48,0.245391343807919,"E",24.85
"Fully Paid","RENT",40000,8.79,0.327821011673152,"B",11.99
"Fully Paid","MORTGAGE",175000,10.79,0.157047917112401,"B",9.93
"Fully Paid","RENT",69000,27.43,0.632737826507578,"C",12.62
"Fully Paid","MORTGAGE",150000,35,0.480978788371642,"C",16.01
"Fully Paid","MORTGAGE",55000,17.96,0.339690336687634,"B",10.9
"Fully Paid","RENT",25000,16.23,0.478990384615385,"C",14.08
"Fully Paid","MORTGAGE",48000,28.38,0.371290507686267,"A",6.07
"Fully Paid","MORTGAGE",72000,28.04,0.174609690004141,"B",10.41
"Fully Paid","MORTGAGE",25000,21.36,0.707142278727022,"C",16.02
"Fully Paid","RENT",120000,8.05,0.444706744868035,"D",18.06
"Fully Paid","MORTGAGE",55000,18.31,0.370575734629571,"A",7.97
"Fully Paid","MORTGAGE",98700,12.04,0.0746476147596987,"B",10.91
"Fully Paid","OWN",16000,8.33,1.06152893840916,"D",20
"Fully Paid","MORTGAGE",40000,19.26,0.49071022097406,"A",7.35
"Fully Paid","MORTGAGE",108000,24.34,0.245933040710907,"D",19.03
"Fully Paid","MORTGAGE",40000,25.89,0.136473712991173,"C",14.08
"Fully Paid","OWN",185000,11.85,0.125805939560978,"B",9.43
"Fully Paid","RENT",40000,17.04,0.773467652253549,"B",10.42
"Fully Paid","OWN",85000,14.42,0.457892001155068,"D",21.45
"Fully Paid","MORTGAGE",65000,11.27,0.0613992077019465,"A",6.71
"Fully Paid","MORTGAGE",76760,7.7,0.0331382301305791,"B",9.44
"Fully Paid","RENT",33000,25.45,0.397993208724647,"D",19.03
"Fully Paid","RENT",30000,15.36,0.411848725856192,"D",20.39
"Fully Paid","OWN",275000,14.2,0.21381800205095,"B",9.44
"Fully Paid","MORTGAGE",70000,11.18,0.152484236561,"B",9.92
"Fully Paid","MORTGAGE",39000,8.74,0.0340157263517617,"B",10.42
"Fully Paid","MORTGAGE",48391,22.69,0.187772880691143,"C",15.05
"Fully Paid","RENT",58800,14.43,0.214851024208566,"C",13.59
"Fully Paid","MORTGAGE",97500,25.81,0.150230336920522,"C",15.05
"Fully Paid","RENT",60000,20.7,0.926589574020024,"C",12.61
"Fully Paid","RENT",110000,8.25,0.757323118521857,"C",16.02
"Fully Paid","MORTGAGE",68700,46.83,0.402640428571072,"A",7.97
"Fully Paid","MORTGAGE",40000,37.8,0.223312159952829,"F",30.65
"Fully Paid","OWN",9600,3.38,0.00930434782608696,"E",22.9
"Fully Paid","MORTGAGE",75000,22.23,0.675665793162289,"C",16.02
"Fully Paid","RENT",105000,11.04,0.454159102595045,"A",6.72
"Fully Paid","MORTGAGE",25000,21.99,0.0548797353670033,"A",6.72
"Fully Paid","MORTGAGE",82000,10.84,0.156288736660609,"A",6.07
"Fully Paid","MORTGAGE",84000,35.43,0.372872325188347,"D",18.45
"Fully Paid","RENT",35000,18.24,0.502491295473646,"F",30.17
"Fully Paid","RENT",82500,40.89,0.20879195830511,"C",12.62
"Fully Paid","OWN",60000,18.62,0.173968690501375,"A",7.35
"Fully Paid","MORTGAGE",63000,25.87,0.370744683721206,"A",6.08
"Fully Paid","MORTGAGE",70000,14.51,0.48180318094208,"B",9.44
"Fully Paid","RENT",84000,29.64,0.762060094942584,"D",21.45
"Fully Paid","OWN",90000,2.55,0.278765432098765,"B",9.92
"Fully Paid","OWN",30000,24.52,0.573676349402555,"D",19.42
"Fully Paid","RENT",53000,22.75,0.583517699115044,"D",17.09
"Fully Paid","RENT",59000,4.86,0.331553784860558,"C",13.59
"Fully Paid","RENT",77000,16.07,0.428034926298,"E",24.85
"Fully Paid","MORTGAGE",1e+05,22.54,0.229453765066339,"D",19.42
"Fully Paid","OWN",83000,0.36,0.0234545454545455,"A",7.97
"Fully Paid","MORTGAGE",43000,22.55,0.108785183380041,"B",9.44
"Fully Paid","MORTGAGE",80000,7.44,0.0515720255133936,"A",7.34
"Fully Paid","MORTGAGE",55000,14.41,0.182828882294758,"D",19.42
"Fully Paid","OWN",28100,23.15,0.641329832129795,"C",13.59
"Fully Paid","RENT",92465,12.94,0.623145225522877,"D",19.03
"Fully Paid","MORTGAGE",72000,34.48,0.198128709787122,"B",9.44
"Fully Paid","OWN",85000,8.89,0.415766081871345,"B",10.42
"Fully Paid","MORTGAGE",60000,34.11,0.27029755738714,"A",7.97
"Fully Paid","MORTGAGE",41000,37.62,0.567403086119664,"C",15.05
"Fully Paid","MORTGAGE",150000,14.32,0.562644628099174,"A",7.97
"Fully Paid","MORTGAGE",97000,15.72,0.888589004615506,"C",12.62
"Fully Paid","RENT",24000,16.15,0.728989576522174,"C",13.58
"Fully Paid","RENT",182200,15.97,0.773753647088672,"D",18.06
"Fully Paid","OWN",25000,2.88,0.037012987012987,"A",6.72
"Fully Paid","RENT",85000,13.63,0.607987922452579,"B",11.99
"Fully Paid","MORTGAGE",5e+05,8.52,0.0738078315549403,"A",7.35
"Fully Paid","MORTGAGE",45000,3.87,0.0333333333333333,"A",7.34
"Fully Paid","MORTGAGE",125000,10.36,0.19415068496711,"A",7.35
"Fully Paid","OWN",26000,35.92,0.777451181443252,"D",20
"Fully Paid","RENT",60000,16.33,0.474789151833413,"A",6.08
"Fully Paid","MORTGAGE",45000,23.01,0.212166484302668,"C",16.02
"Fully Paid","RENT",130000,9.78,0.816430154040937,"C",14.07
"Fully Paid","RENT",140000,14.68,0.350950003242332,"C",13.59
"Fully Paid","RENT",38000,4.26,0.590415762230756,"D",19.42
"Fully Paid","OWN",65000,11.5,0.261386381660939,"A",6.72
"Fully Paid","RENT",25100,22.91,0.754066619517455,"C",15.04
"Fully Paid","MORTGAGE",63000,28.3,0.225114289446186,"A",6.07
"Fully Paid","RENT",15000,20.48,0.311104990806613,"D",20
"Fully Paid","MORTGAGE",170000,11.55,0.660394277225338,"F",30.17
"Fully Paid","RENT",61500,11.14,0.0249977058432173,"C",13.59
"Fully Paid","MORTGAGE",105000,10.95,0.153018342019283,"B",9.93
"Fully Paid","MORTGAGE",160000,7.45,0.131549620637329,"A",7.34
"Fully Paid","RENT",135000,12.73,0.867605928326842,"E",26.3
"Fully Paid","OWN",69700,7.02,0.0547735849056604,"A",7.35
"Fully Paid","OWN",50000,7.97,0.0535808748728383,"B",10.91
"Fully Paid","MORTGAGE",69000,18.35,0.168976591987257,"B",10.91
"Fully Paid","RENT",40000,6.27,0.662194092827004,"D",21.45
"Fully Paid","OWN",62000,19.71,0.757935497019412,"D",20
"Fully Paid","MORTGAGE",60000,27.17,0.210382616050923,"A",6.07
"Fully Paid","MORTGAGE",109000,16.89,0.0960344761742492,"C",15.05
"Fully Paid","OWN",65000,17.01,0.384317773788151,"B",10.42
"Fully Paid","OWN",57500,16.18,0.0840109516849538,"A",6.71
"Fully Paid","RENT",112500,19.42,0.77342858666098,"B",11.99
"Fully Paid","MORTGAGE",65000,5.1,0.0736955422960031,"A",5.32
"Fully Paid","MORTGAGE",86000,10.81,0.091152689164714,"A",6.71
"Fully Paid","MORTGAGE",71487,18.52,0.258743716677748,"B",10.42
"Fully Paid","RENT",80000,20.84,0.683709511761317,"D",21.85
"Fully Paid","MORTGAGE",2300000,3.08,0.34134588917059,"B",9.44
"Fully Paid","RENT",80000,25.98,0.692022337455126,"C",14.07
"Fully Paid","RENT",67760,30.69,0.563340288345387,"B",9.43
"Fully Paid","RENT",55000,36.9,0.788798027779448,"D",21.45
"Fully Paid","MORTGAGE",290000,19.34,0.177144797422278,"C",16.02
"Fully Paid","MORTGAGE",420000,16.94,0.384965800512362,"D",20
"Fully Paid","OWN",70000,20.91,0.409383651464374,"B",10.91
"Fully Paid","MORTGAGE",130000,8.83,0.998224462022625,"A",7.97
"Fully Paid","RENT",57000,27.03,0.757001890483111,"B",9.44
"Fully Paid","OWN",56000,12.47,0.141462086424114,"A",6.08
"Fully Paid","RENT",78816,17.57,0.385510558165122,"A",7.97
"Fully Paid","MORTGAGE",75000,25.18,0.765610312877669,"B",10.42
"Fully Paid","RENT",20712,31.72,0.201298482293423,"B",9.43
"Fully Paid","RENT",30000,25.92,0.291788458640952,"B",10.41
"Fully Paid","MORTGAGE",110000,28.21,0.225004942469653,"B",10.42
"Fully Paid","MORTGAGE",133000,11.76,0.321960673135105,"B",9.92
"Fully Paid","MORTGAGE",92000,19.28,0.612115482380642,"B",9.93
"Fully Paid","RENT",72000,18.69,0.746813963764914,"C",13.58
"Fully Paid","RENT",85000,6.14,0.475738044349452,"A",6.08
"Fully Paid","MORTGAGE",95000,12.58,0.295562655944282,"C",16.02
"Fully Paid","MORTGAGE",53500,17.99,0.134068571428571,"C",12.62
"Fully Paid","MORTGAGE",60000,21.8,0.463426704939127,"E",23.88
"Fully Paid","MORTGAGE",65000,5.21,0.186438698915763,"A",6.08
"Fully Paid","MORTGAGE",45000,34.99,0.225466358030695,"C",12.62
"Fully Paid","OWN",39520,28.88,0.202442610191315,"B",10.42
"Fully Paid","RENT",54000,4.71,0.324007936507937,"B",10.9
"Fully Paid","RENT",50000,2.39,0.0676128093158661,"A",7.96
